,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3404,"Pleasant View, UT",Pleasant View,UT,7052,Pleasant View,9052686,Utah,UT,"Salt Lake City, UT",770
3405,"Pleasanton, CA",Pleasanton,CA,66828,Pleasanton,1014149,California,CA,"San Francisco-Oakland-San Jose, CA",807
3406,"Pleasanton, TX",Pleasanton,TX,9681,Pleasanton,1026696,Texas,TX,"San Antonio, TX",641
3407,"Pleasantville, NJ",Pleasantville,NJ,18853,Pleasantville,1022350,New Jersey,NJ,"Philadelphia, PA",504
3408,"Pleasantville, NY",Pleasantville,NY,7146,Pleasantville,1023272,New York,NY,"New York, NY",501
3409,"Plover, WI",Plover,WI,11720,Plover,1028158,Wisconsin,WI,"Wausau-Rhinelander, WI",705
3410,"Plum, PA",Plum,PA,26198,Plum,9052688,Pennsylvania,PA,"Pittsburgh, PA",508
3411,"Plymouth, IN",Plymouth,IN,11038,Plymouth,1017271,Indiana,IN,"South Bend-Elkhart, IN",588
3412,"Plymouth, MI",Plymouth,MI,8487,Plymouth,1019534,Michigan,MI,"Detroit, MI",505
3413,"Plymouth, MN",Plymouth,MN,71486,Plymouth,9052691,Minnesota,MN,"Minneapolis-St. Paul, MN",613
3414,"Plymouth, PA",Plymouth,PA,6041,Plymouth,1025206,Pennsylvania,PA,"Wilkes Barre-Scranton, PA",577
3415,"Plymouth, WI",Plymouth,WI,8241,Plymouth,1028160,Wisconsin,WI,"Milwaukee, WI",617
3416,"Pocahontas, AR",Pocahontas,AR,6713,Pocahontas,1013319,Arkansas,AR,"Jonesboro, AR",734
3417,"Pocatello, ID",Pocatello,ID,54901,Pocatello,1016216,Idaho,ID,"Idaho Falls-Pocatello, ID",758
3418,"Pocola, OK",Pocola,OK,4464,Pocola,1024305,Oklahoma,OK,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670
3419,"Point Pleasant Beach, NJ",Point Pleasant Beach,NJ,5418,Point Pleasant Beach,1022352,New Jersey,NJ,"New York, NY",501
3420,"Point Pleasant, NJ",Point Pleasant,NJ,20139,Point Pleasant,9052696,New Jersey,NJ,"New York, NY",501
3421,"Point Pleasant, WV",Point Pleasant,WV,4451,Point Pleasant,1028403,West Virginia,WV,"Charleston-Huntington, WV",564
3422,"Polson, MT",Polson,MT,5228,Polson,1020938,Montana,MT,"Missoula, MT",762
3423,"Pomona, CA",Pomona,CA,152699,Pomona,1014155,California,CA,"Los Angeles, CA",803
3424,"Pompano Beach, FL",Pompano Beach,FL,101943,Pompano Beach,1015176,Florida,FL,"Miami-Ft. Lauderdale, FL",528
