"","DMA","scores","sd","count","Region","date"
"75",577,0.06,0.77,46,"Wilkes Barre-Scranton, PA",2015-06-24 17:22:17
"76",581,0.14,0.37,14,"Terre Haute, IN",2015-06-24 17:22:17
"77",582,0.09,0.57,14,"Lafayette, IN",2015-06-24 17:22:17
"78",584,0.3,0.6,4,"Charlottesville, VA",2015-06-24 17:22:17
"79",588,0.16,0.76,49,"South Bend-Elkhart, IN",2015-06-24 17:22:17
"80",592,0.05,0.48,24,"Gainesville, FL",2015-06-24 17:22:17
"81",596,-0.6,0.28,2,"Zanesville, OH",2015-06-24 17:22:17
"82",597,0.15,0.59,22,"Parkersburg, WV",2015-06-24 17:22:17
"83",598,0.2,0.49,6,"Clarksburg-Weston, WV",2015-06-24 17:22:17
"84",600,0.04,0.58,77,"Corpus Christi, TX",2015-06-24 17:22:17
"85",602,0.1,0.86,1340,"Chicago, IL",2015-06-24 17:22:17
"86",603,0.03,0.65,12,"Joplin, MO-Pittsburg, KS",2015-06-24 17:22:17
"87",604,-0.07,0.89,6,"Columbia-Jefferson City, MO",2015-06-24 17:22:17
"88",605,0.08,0.7,35,"Topeka, KS",2015-06-24 17:22:17
"89",606,0.16,0.36,5,"Dothan, AL",2015-06-24 17:22:17
"90",609,-0.01,0.74,142,"St. Louis, MO",2015-06-24 17:22:17
"91",610,0.11,0.45,45,"Rockford, IL",2015-06-24 17:22:17
"92",611,0.3,0.7,8,"Rochester, MN-Mason City, IA-Austin, MN",2015-06-24 17:22:17
"93",612,-0.21,1,69,"Shreveport, LA",2015-06-24 17:22:17
"94",613,0.13,0.66,237,"Minneapolis-St. Paul, MN",2015-06-24 17:22:17
"95",616,0.17,0.75,179,"Kansas City, MO",2015-06-24 17:22:17
"96",617,0.15,0.73,265,"Milwaukee, WI",2015-06-24 17:22:17
"97",618,0.02,0.84,1180,"Houston, TX",2015-06-24 17:22:17
"98",619,0.38,0.94,20,"Springfield, MO",2015-06-24 17:22:17
"99",622,0.01,0.84,355,"New Orleans, LA",2015-06-24 17:22:17
"100",623,0.07,0.74,1454,"Dallas-Ft. Worth, TX",2015-06-24 17:22:17
"101",624,0.02,0.45,35,"Sioux City, IA",2015-06-24 17:22:17
"102",625,0.13,0.72,176,"Waco-Temple-Bryan, TX",2015-06-24 17:22:17
"103",626,0.29,0.94,7,"Victoria, TX",2015-06-24 17:22:17
"104",627,0.15,1.16,24,"Wichita Falls, TX & Lawton, OK",2015-06-24 17:22:17
"105",628,-0.2,1.42,36,"Monroe, LA-El Dorado, AR",2015-06-24 17:22:17
"106",630,0,0.64,120,"Birmingham, AL",2015-06-24 17:22:17
"107",631,0.8,0.69,3,"Ottumwa, IA-Kirksville, MO",2015-06-24 17:22:17
"108",632,0.22,0.63,24,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",2015-06-24 17:22:17
"109",633,0.23,0.9,23,"Odessa-Midland, TX",2015-06-24 17:22:17
